Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
355,Aleksej Pokusevski,PF,21,OKC,25,19,22.2,3.5,7.9,0.447,1.2,3.2,0.392,2.3,4.7,0.483,0.525,0.6,0.9,0.609,1.6,3.7,5.2,1.9,0.5,1.4,1.4,1.8,8.8
356,Jordan Poole,SG,23,GSW,29,10,28.4,6.1,14.5,0.424,2.4,7.4,0.319,3.8,7,0.534,0.506,3.2,3.7,0.861,0.3,1.9,2.2,4.6,0.8,0.3,3.1,2.3,17.9
357,Kevin Porter Jr.,PG,22,HOU,26,26,34.6,6.4,15.5,0.412,1.9,5.8,0.329,4.5,9.7,0.462,0.474,4,5.2,0.77,1.3,4.2,5.5,5.7,1.3,0.4,3.8,3,18.7
358,Michael Porter Jr.,SF,24,DEN,16,16,29.1,6,12.9,0.466,2.9,6.9,0.427,3.1,6,0.51,0.58,1.5,1.9,0.8,1.2,4.8,6,1.3,0.6,0.4,1.1,2.6,16.4
359,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5
360,Bobby Portis,PF,27,MIL,27,7,26.5,5.9,11.9,0.498,1.1,3.6,0.306,4.8,8.3,0.583,0.545,1,1.3,0.778,2.5,7.8,10.3,2.1,0.3,0.3,1.1,1.8,14
361,Kristaps Porziņģis,PF,27,WAS,27,27,32.5,7.5,15.6,0.481,1.9,5.5,0.345,5.6,10.1,0.555,0.541,5.6,7,0.804,2,6.9,8.9,2.6,0.9,1.6,2.2,3.1,22.6
362,Micah Potter,PF,24,UTA,2,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0.5,1,1.5,0.5,0,0,0,1,2
363,Dwight Powell,C,31,DAL,25,21,17,2.2,3.2,0.688,0,0,0,2.2,3.2,0.696,0.688,1.3,2,0.653,1.8,1.7,3.5,0.5,0.5,0.4,0.8,2.4,5.7
364,Norman Powell,SG,29,LAC,22,5,25.3,5.1,11.2,0.459,1.6,4.3,0.379,3.5,6.9,0.51,0.533,2.9,3.7,0.78,0.4,2.5,2.9,1.5,0.8,0.3,1.8,1.8,14.8
365,Jason Preston,PG,23,LAC,4,0,6.8,1.5,3.3,0.462,0.5,1.8,0.286,1,1.5,0.667,0.538,0,0.5,0,0.3,0.5,0.8,1.3,0,0,0.5,0.5,3.5
366,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7
367,Taurean Prince,SF,28,MIN,18,0,19.6,2.8,5.7,0.495,1.2,3,0.389,1.7,2.7,0.612,0.597,1.1,1.2,0.864,0.3,2.2,2.5,1.2,0.3,0.2,1.2,2.4,7.9
368,Payton Pritchard,PG,25,BOS,17,0,11.5,1.8,4.5,0.403,0.9,2.6,0.356,0.9,1.9,0.469,0.506,0.4,0.6,0.7,0.6,0.9,1.5,1.2,0.4,0.1,0.8,0.4,5
369,Trevelin Queen,PG,25,IND,2,0,10,0,1.5,0,0,1.5,0,0,0,,0,0,0,,0.5,1,1.5,1,0.5,0.5,1.5,0.5,0
370,Neemias Queta,C,23,SAC,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,1,0,0,0,3,0
371,Immanuel Quickley,PG,23,NYK,28,0,23.6,3.5,8.6,0.404,1.2,3.9,0.312,2.3,4.7,0.481,0.475,1.9,2.3,0.841,0.6,3.6,4.3,3,1,0.1,1.4,1.9,10
372,Julius Randle,PF,28,NYK,28,28,33.5,7.5,16.4,0.46,2.4,7,0.34,5.1,9.4,0.55,0.533,5.1,6.4,0.799,2,6.9,8.9,3.6,0.7,0.2,2.7,3.1,22.6
373,Austin Reaves,SG,24,LAL,27,9,29.3,3.4,6.7,0.511,1.2,3.1,0.376,2.2,3.5,0.632,0.6,2.6,2.8,0.908,0.7,2.3,3,2.2,0.5,0.4,1.1,1.6,10.6
374,Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1,0.8,0.4,0.8,1.6,8.4
375,Davon Reed,SG,27,DEN,19,1,10.6,0.8,2.8,0.302,0.6,1.6,0.367,0.3,1.2,0.217,0.406,0.4,0.5,0.8,0.2,1.3,1.5,0.5,0.3,0.1,0.6,1.1,2.7
376,Paul Reed,C,23,PHI,24,0,11.1,1.3,2.5,0.542,0,0.1,0,1.3,2.3,0.571,0.542,0.3,0.5,0.667,1.3,2.3,3.6,0.5,0.9,0.7,0.7,2.3,3
377,Naz Reid,C,23,MIN,22,0,14.9,3.4,6.3,0.532,0.7,2.2,0.313,2.7,4.1,0.648,0.586,1.1,1.6,0.686,0.8,3,3.8,0.7,0.3,0.9,1,2.2,8.5
378,Nick Richards,C,25,CHO,28,0,18.9,3.3,5.4,0.607,0,0,,3.3,5.4,0.607,0.607,2.3,3.1,0.744,2.9,3.5,6.3,0.6,0.1,0.8,0.9,2.3,8.8
