Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
225,Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,0.446,2.8,6.4,0.431,1.9,4,0.469,0.578,1,1.4,0.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13
226,Jalen Johnson,SF,21,ATL,39,6,15.1,2.1,4.4,0.468,0.4,1.6,0.254,1.6,2.8,0.593,0.515,0.8,1.2,0.733,0.7,2.9,3.6,1,0.5,0.5,0.5,1.6,5.4
227,James Johnson,PF,35,IND,10,1,8.4,0.7,2,0.35,0.1,0.7,0.143,0.6,1.3,0.462,0.375,0,0,,0,1.1,1.1,0.7,0.3,0.4,0.3,1.9,1.5
228,Keldon Johnson,SF,23,SAS,36,36,32.1,7.4,17.5,0.424,2.4,7.1,0.342,5,10.3,0.481,0.494,4,5.2,0.766,0.8,3.9,4.8,2.7,0.7,0.2,2.2,2,21.3
229,Keon Johnson,SG,20,POR,20,0,12.2,2,5.3,0.368,0.9,2.6,0.333,1.1,2.8,0.4,0.448,0.3,0.7,0.385,0.4,1.4,1.7,1.1,0.6,0.2,1.3,1.3,5
230,Stanley Johnson,SF,26,SAS,15,0,13.9,2.4,4.1,0.581,0.9,1.8,0.481,1.5,2.3,0.657,0.685,0.8,1.3,0.6,0.4,2.2,2.6,2.1,0.3,0.3,0.9,1.8,6.5
231,Nikola Jokić,C,27,DEN,38,38,33.3,9.4,15.2,0.618,0.9,2.3,0.375,8.5,12.9,0.661,0.646,5.2,6.4,0.812,2.1,8.9,11,9.7,1.4,0.6,3.4,2.8,24.9
232,Damian Jones,C,27,LAL,19,1,8.9,1.1,1.9,0.556,0,0.2,0,1.1,1.7,0.606,0.556,0.8,1.1,0.75,0.9,1.9,2.8,0.2,0.2,0.6,0.4,0.8,2.9
233,Derrick Jones Jr.,SF,25,CHI,31,0,14.4,2,3.7,0.534,0.4,1.2,0.351,1.6,2.5,0.62,0.591,1.2,1.5,0.792,0.8,1.6,2.5,0.6,0.5,0.6,0.5,1.5,5.6
234,Herbert Jones,SF,24,NOP,29,29,28,3.4,7.9,0.426,0.8,2.8,0.296,2.6,5.1,0.497,0.478,2.4,3.1,0.775,1.2,2.5,3.7,2.1,1.5,0.7,1.2,3.3,10
235,Kai Jones,C,22,CHO,24,0,9.4,1.2,2.3,0.5,0.1,0.5,0.273,1,1.9,0.556,0.527,0.3,0.5,0.727,0.8,1.3,2.1,0.2,0.2,0.5,0.4,1.3,2.8
