,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
22,23,Paolo Banchero,Frontcourt,20,ORL,22,22,34.8,7.1,15.8,0.451,1.0,3.7,0.256,6.2,12.1,0.511,0.481,6.5,8.5,0.755,1.4,5.5,6.9,3.9,0.9,0.6,2.9,2.3,21.7,0.00017049196,East
122,123,Chris Duarte,Frontcourt,25,IND,9,5,19.7,3.1,7.9,0.394,1.4,4.2,0.342,1.7,3.7,0.455,0.486,1.2,1.3,0.917,0.4,1.7,2.1,1.0,0.1,0.4,0.9,1.8,8.9,0.00016513235,East
353,354,Jakob Poeltl,Frontcourt,27,SAS,20,20,27.3,5.7,8.9,0.64,0.0,0.0,,5.7,8.9,0.64,0.64,1.5,2.8,0.518,3.9,6.0,9.9,3.5,0.9,1.0,2.4,2.3,12.9,0.00016092208,West
16,17,Deandre Ayton,Frontcourt,24,PHO,26,26,28.8,7.4,12.0,0.619,0.2,0.5,0.286,7.3,11.5,0.634,0.625,2.0,2.8,0.722,3.0,6.5,9.5,2.2,0.5,0.8,2.0,2.9,17.0,0.00015823165,West
337,338,Royce O'Neale,Frontcourt,29,BRK,27,27,36.0,3.2,8.6,0.377,2.3,5.6,0.407,1.0,3.0,0.321,0.509,0.6,0.9,0.64,0.9,4.4,5.4,4.7,1.1,0.7,1.8,3.3,9.3,0.000157664,East
44,45,Bogdan Bogdanović,Guard,30,ATL,6,0,28.3,6.5,15.3,0.424,3.7,9.7,0.379,2.8,5.7,0.5,0.543,1.2,1.2,1.0,0.2,3.3,3.5,2.3,0.5,0.2,2.0,1.3,17.8,0.0001545376,East
441,440,Jonas Valančiūnas,Frontcourt,30,NOP,27,27,23.1,5.0,9.6,0.523,0.6,1.6,0.349,4.5,8.0,0.558,0.552,2.6,3.1,0.824,2.7,6.4,9.1,1.8,0.3,0.3,2.0,2.6,13.2,0.00014670241,West
272,273,Kevin Love,Frontcourt,34,CLE,21,1,19.8,2.9,7.2,0.404,1.9,5.0,0.377,1.0,2.1,0.467,0.536,1.7,1.9,0.875,0.7,6.3,7.0,2.1,0.2,0.1,1.1,1.6,9.4,0.00014273259,East
289,290,Tyrese Maxey,Guard,22,PHI,15,15,36.4,8.4,18.2,0.462,2.9,6.8,0.422,5.5,11.4,0.485,0.54,3.2,4.3,0.738,0.4,3.1,3.5,4.4,1.0,0.3,2.0,2.3,22.9,0.00012959214,East
439,438,P.J. Tucker,Frontcourt,37,PHI,27,27,28.8,1.3,3.0,0.432,0.7,1.7,0.4,0.6,1.3,0.472,0.543,0.3,0.3,0.778,1.2,3.0,4.3,1.0,0.6,0.3,0.9,2.7,3.5,0.00012504039,East
231,232,Tre Jones,Guard,23,SAS,27,27,30.3,4.7,11.0,0.429,0.7,2.4,0.303,4.0,8.5,0.465,0.463,2.4,2.7,0.903,0.8,2.7,3.4,6.6,1.4,0.2,1.9,1.8,12.6,0.00011210041,West
75,76,Clint Capela,Frontcourt,28,ATL,26,26,27.6,5.5,8.7,0.633,0.0,0.0,,5.5,8.7,0.633,0.633,1.1,1.8,0.583,4.4,7.6,12.0,0.8,0.6,1.3,0.9,2.3,12.1,0.00010121667,East
206,207,De'Andre Hunter,Frontcourt,25,ATL,24,24,30.5,5.5,12.3,0.449,1.5,4.0,0.371,4.0,8.3,0.487,0.51,3.0,3.6,0.826,0.6,3.3,3.9,1.2,0.3,0.1,1.4,2.9,15.5,9.7830925e-05,East
93,94,Robert Covington,Frontcourt,32,LAC,18,0,15.8,1.9,4.8,0.395,1.1,3.2,0.333,0.8,1.6,0.517,0.506,0.8,0.9,0.875,0.3,3.3,3.6,1.2,0.4,0.7,0.8,2.2,5.6,9.196231e-05,West
161,162,Jalen Green,Guard,20,HOU,27,27,34.5,7.4,17.7,0.418,2.3,7.2,0.323,5.1,10.5,0.482,0.483,4.6,5.7,0.806,0.6,3.5,4.1,3.9,0.7,0.2,3.1,1.6,21.8,9.054698e-05,West
46,47,Bol Bol,Frontcourt,23,ORL,29,24,26.9,5.2,8.6,0.604,0.8,1.9,0.426,4.4,6.8,0.653,0.65,1.5,1.9,0.786,1.4,6.0,7.4,1.2,0.5,1.8,2.1,1.3,12.7,8.943756e-05,East
295,296,Doug McDermott,Frontcourt,31,SAS,24,0,20.8,3.9,8.1,0.482,2.0,4.7,0.425,1.9,3.4,0.561,0.605,0.6,0.9,0.682,0.3,1.6,1.9,1.5,0.1,0.2,1.0,1.7,10.5,8.417798e-05,West
120,121,Goran Dragić,Guard,36,CHI,26,0,16.8,3.0,6.9,0.436,1.1,2.7,0.394,1.9,4.2,0.463,0.514,0.7,1.2,0.633,0.4,1.0,1.5,3.2,0.3,0.2,1.2,1.4,7.8,7.509266e-05,East
112,113,Spencer Dinwiddie,Guard,29,DAL,28,28,31.6,5.9,12.7,0.461,2.6,6.4,0.41,3.3,6.4,0.511,0.563,2.3,2.8,0.818,0.5,2.9,3.4,5.3,0.9,0.3,1.7,2.2,16.6,7.5064236e-05,West
